OTX1_MOUSE.MA0711.1	OTX1
OTX2_MOUSE.MA0712.1	OTX2
PDX1_MOUSE.MA0132.2	PDX1
PHOX2A_MOUSE.MA0713.1	PHOX2A
PITX3_MOUSE.MA0714.1	PITX3
PROP1_MOUSE.MA0715.1	PROP1
PRRX1_MOUSE.MA0716.1	PRRX1
RAX2_MOUSE.MA0717.1	RAX2
RAX_MOUSE.MA0718.1	RAX
RHOXF1_MOUSE.MA0719.1	RHOXF1
Shox2_MOUSE.MA0720.1	Shox2
UNCX_MOUSE.MA0721.1	UNCX
VAX1_MOUSE.MA0722.1	VAX1
VAX2_MOUSE.MA0723.1	VAX2
VENTX_MOUSE.MA0724.1	VENTX
VSX1_MOUSE.MA0725.1	VSX1
VSX2_MOUSE.MA0726.1	VSX2
ESR1_MOUSE.MA0112.3	ESR1
ESRRB_MOUSE.MA0141.3	ESRRB
Esrra_MOUSE.MA0592.2	Esrra
Hnf4a_MOUSE.MA0114.3	Hnf4a
NR2F1_MOUSE.MA0017.2	NR2F1
NR3C1_MOUSE.MA0113.3	NR3C1
NR3C2_MOUSE.MA0727.1	NR3C2
Nr2f6(var.2)_MOUSE.MA0728.1	Nr2f6(var.2)
RARA_MOUSE.MA0729.1	RARA
RARA(var.2)_MOUSE.MA0730.1	RARA(var.2)
BCL6B_MOUSE.MA0731.1	BCL6B
EGR2_MOUSE.MA0472.2	EGR2
EGR3_MOUSE.MA0732.1	EGR3
EGR4_MOUSE.MA0733.1	EGR4
GLI2_MOUSE.MA0734.1	GLI2
GLIS1_MOUSE.MA0735.1	GLIS1
GLIS2_MOUSE.MA0736.1	GLIS2
GLIS3_MOUSE.MA0737.1	GLIS3
HIC2_MOUSE.MA0738.1	HIC2
Hic1_MOUSE.MA0739.1	Hic1
KLF14_MOUSE.MA0740.1	KLF14
KLF16_MOUSE.MA0741.1	KLF16
Klf12_MOUSE.MA0742.1	Klf12
SCRT1_MOUSE.MA0743.1	SCRT1
SCRT2_MOUSE.MA0744.1	SCRT2
SNAI2_MOUSE.MA0745.1	SNAI2
SP3_MOUSE.MA0746.1	SP3
SP8_MOUSE.MA0747.1	SP8
YY2_MOUSE.MA0748.1	YY2
ZBED1_MOUSE.MA0749.1	ZBED1
ZIC4_MOUSE.MA0751.1	ZIC4
ZNF143_MOUSE.MA0088.2	ZNF143
ZNF410_MOUSE.MA0752.1	ZNF410
ZNF740_MOUSE.MA0753.1	ZNF740
CUX1_MOUSE.MA0754.1	CUX1
CUX2_MOUSE.MA0755.1	CUX2
ONECUT2_MOUSE.MA0756.1	ONECUT2
ONECUT3_MOUSE.MA0757.1	ONECUT3
E2F3_MOUSE.MA0469.2	E2F3
E2F7_MOUSE.MA0758.1	E2F7
ELF1_MOUSE.MA0473.2	ELF1
ELK3_MOUSE.MA0759.1	ELK3
ERF_MOUSE.MA0760.1	ERF
ERG_MOUSE.MA0474.2	ERG
ETS1_MOUSE.MA0098.3	ETS1
ETV1_MOUSE.MA0761.1	ETV1
ETV2_MOUSE.MA0762.1	ETV2
ETV3_MOUSE.MA0763.1	ETV3
ETV4_MOUSE.MA0764.1	ETV4
ETV5_MOUSE.MA0765.1	ETV5
FEV_MOUSE.MA0156.2	FEV
GATA5_MOUSE.MA0766.1	GATA5
GCM2_MOUSE.MA0767.1	GCM2
LEF1_MOUSE.MA0768.1	LEF1
Tcf7_MOUSE.MA0769.1	Tcf7
HSF2_MOUSE.MA0770.1	HSF2
HSF4_MOUSE.MA0771.1	HSF4
IRF7_MOUSE.MA0772.1	IRF7
MEF2A_MOUSE.MA0052.3	MEF2A
MEF2D_MOUSE.MA0773.1	MEF2D
MEIS1_MOUSE.MA0498.2	MEIS1
MEIS2_MOUSE.MA0774.1	MEIS2
MEIS3_MOUSE.MA0775.1	MEIS3
MYBL1_MOUSE.MA0776.1	MYBL1
MYBL2_MOUSE.MA0777.1	MYBL2
NFKB1_MOUSE.MA0105.4	NFKB1
NFKB2_MOUSE.MA0778.1	NFKB2
PAX1_MOUSE.MA0779.1	PAX1
PAX3_MOUSE.MA0780.1	PAX3
PAX9_MOUSE.MA0781.1	PAX9
PKNOX1_MOUSE.MA0782.1	PKNOX1
PKNOX2_MOUSE.MA0783.1	PKNOX2
POU1F1_MOUSE.MA0784.1	POU1F1
POU2F1_MOUSE.MA0785.1	POU2F1
POU3F1_MOUSE.MA0786.1	POU3F1
POU3F2_MOUSE.MA0787.1	POU3F2
POU3F3_MOUSE.MA0788.1	POU3F3
POU3F4_MOUSE.MA0789.1	POU3F4
POU4F1_MOUSE.MA0790.1	POU4F1
POU4F3_MOUSE.MA0791.1	POU4F3
POU5F1B_MOUSE.MA0792.1	POU5F1B
POU6F2_MOUSE.MA0793.1	POU6F2
PROX1_MOUSE.MA0794.1	PROX1
RFX2_MOUSE.MA0600.2	RFX2
SMAD3_MOUSE.MA0795.1	SMAD3
TGIF1_MOUSE.MA0796.1	TGIF1
TGIF2_MOUSE.MA0797.1	TGIF2
RFX3_MOUSE.MA0798.1	RFX3
RFX4_MOUSE.MA0799.1	RFX4
RFX5_MOUSE.MA0510.2	RFX5
RUNX2_MOUSE.MA0511.2	RUNX2
EOMES_MOUSE.MA0800.1	EOMES
MGA_MOUSE.MA0801.1	MGA
TBR1_MOUSE.MA0802.1	TBR1
TBX15_MOUSE.MA0803.1	TBX15
TBX19_MOUSE.MA0804.1	TBX19
TBX1_MOUSE.MA0805.1	TBX1
TBX4_MOUSE.MA0806.1	TBX4
TBX5_MOUSE.MA0807.1	TBX5
TEAD3_MOUSE.MA0808.1	TEAD3
TEAD4_MOUSE.MA0809.1	TEAD4
TFAP2A(var.2)_MOUSE.MA0810.1	TFAP2A(var.2)
TFAP2A_MOUSE.MA0003.3	TFAP2A
TFAP2B_MOUSE.MA0811.1	TFAP2B
TFAP2B(var.2)_MOUSE.MA0812.1	TFAP2B(var.2)
TFAP2B(var.3)_MOUSE.MA0813.1	TFAP2B(var.3)
TFAP2C_MOUSE.MA0524.2	TFAP2C
TFAP2C(var.2)_MOUSE.MA0814.1	TFAP2C(var.2)
TFAP2C(var.3)_MOUSE.MA0815.1	TFAP2C(var.3)
Ascl2_MOUSE.MA0816.1	Ascl2
Atoh1_MOUSE.MA0461.2	Atoh1
BHLHE40_MOUSE.MA0464.2	BHLHE40
BHLHE23_MOUSE.MA0817.1	BHLHE23
BHLHE22_MOUSE.MA0818.1	BHLHE22
CLOCK_MOUSE.MA0819.1	CLOCK
FIGLA_MOUSE.MA0820.1	FIGLA
HES5_MOUSE.MA0821.1	HES5
HES7_MOUSE.MA0822.1	HES7
HEY1_MOUSE.MA0823.1	HEY1
ID4_MOUSE.MA0824.1	ID4
MAX_MOUSE.MA0058.3	MAX
MNT_MOUSE.MA0825.1	MNT
OLIG1_MOUSE.MA0826.1	OLIG1
OLIG3_MOUSE.MA0827.1	OLIG3
SREBF2(var.2)_MOUSE.MA0828.1	SREBF2(var.2)
Srebf1(var.2)_MOUSE.MA0829.1	Srebf1(var.2)
TCF3_MOUSE.MA0522.2	TCF3
TCF4_MOUSE.MA0830.1	TCF4
Tcf21_MOUSE.MA0832.1	Tcf21
ATF4_MOUSE.MA0833.1	ATF4
ATF7_MOUSE.MA0834.1	ATF7
BATF3_MOUSE.MA0835.1	BATF3
CEBPB_MOUSE.MA0466.2	CEBPB
CEBPD_MOUSE.MA0836.1	CEBPD
CEBPE_MOUSE.MA0837.1	CEBPE
CEBPG_MOUSE.MA0838.1	CEBPG
CREB3L1_MOUSE.MA0839.1	CREB3L1
Creb5_MOUSE.MA0840.1	Creb5
Mafb_MOUSE.MA0117.2	Mafb
NFE2_MOUSE.MA0841.1	NFE2
NRL_MOUSE.MA0842.1	NRL
TEF_MOUSE.MA0843.1	TEF
XBP1_MOUSE.MA0844.1	XBP1
FOXB1_MOUSE.MA0845.1	FOXB1
FOXC1_MOUSE.MA0032.2	FOXC1
FOXC2_MOUSE.MA0846.1	FOXC2
FOXD2_MOUSE.MA0847.1	FOXD2
FOXO4_MOUSE.MA0848.1	FOXO4
FOXO6_MOUSE.MA0849.1	FOXO6
FOXP3_MOUSE.MA0850.1	FOXP3
Foxj3_MOUSE.MA0851.1	Foxj3
Alx4_MOUSE.MA0853.1	Alx4
Alx1_MOUSE.MA0854.1	Alx1
RXRB_MOUSE.MA0855.1	RXRB
RXRG_MOUSE.MA0856.1	RXRG
Rarb_MOUSE.MA0857.1	Rarb
Rarb(var.2)_MOUSE.MA0858.1	Rarb(var.2)
Rarg_MOUSE.MA0859.1	Rarg
Rarg(var.2)_MOUSE.MA0860.1	Rarg(var.2)
TP63_MOUSE.MA0525.2	TP63
TP53_MOUSE.MA0106.3	TP53
TP73_MOUSE.MA0861.1	TP73
GMEB2_MOUSE.MA0862.1	GMEB2
MTF1_MOUSE.MA0863.1	MTF1
E2F1_MOUSE.MA0024.3	E2F1
E2F2_MOUSE.MA0864.1	E2F2
E2F8_MOUSE.MA0865.1	E2F8
SOX21_MOUSE.MA0866.1	SOX21
SOX4_MOUSE.MA0867.1	SOX4
SOX8_MOUSE.MA0868.1	SOX8
Sox11_MOUSE.MA0869.1	Sox11
Sox1_MOUSE.MA0870.1	Sox1
TFEC_MOUSE.MA0871.1	TFEC
TFAP2A(var.3)_MOUSE.MA0872.1	TFAP2A(var.3)
ELK1_MOUSE.MA0028.2	ELK1
HOXD12_MOUSE.MA0873.1	HOXD12
Arx_MOUSE.MA0874.1	Arx
BARX1_MOUSE.MA0875.1	BARX1
BSX_MOUSE.MA0876.1	BSX
Barhl1_MOUSE.MA0877.1	Barhl1
CDX1_MOUSE.MA0878.1	CDX1
Dlx1_MOUSE.MA0879.1	Dlx1
Dlx3_MOUSE.MA0880.1	Dlx3
Dlx4_MOUSE.MA0881.1	Dlx4
DLX6_MOUSE.MA0882.1	DLX6
Dmbx1_MOUSE.MA0883.1	Dmbx1
DUXA_MOUSE.MA0884.1	DUXA
Dlx2_MOUSE.MA0885.1	Dlx2
EMX2_MOUSE.MA0886.1	EMX2
EVX1_MOUSE.MA0887.1	EVX1
EVX2_MOUSE.MA0888.1	EVX2
GBX1_MOUSE.MA0889.1	GBX1
GBX2_MOUSE.MA0890.1	GBX2
GSC2_MOUSE.MA0891.1	GSC2
GSX1_MOUSE.MA0892.1	GSX1
GSX2_MOUSE.MA0893.1	GSX2
HESX1_MOUSE.MA0894.1	HESX1
HMBOX1_MOUSE.MA0895.1	HMBOX1
Hmx1_MOUSE.MA0896.1	Hmx1
Hmx2_MOUSE.MA0897.1	Hmx2
Hmx3_MOUSE.MA0898.1	Hmx3
HOXA10_MOUSE.MA0899.1	HOXA10
HOXA2_MOUSE.MA0900.1	HOXA2
HOXB13_MOUSE.MA0901.1	HOXB13
HOXB2_MOUSE.MA0902.1	HOXB2
HOXB3_MOUSE.MA0903.1	HOXB3
Hoxb5_MOUSE.MA0904.1	Hoxb5
HOXC10_MOUSE.MA0905.1	HOXC10
HOXC12_MOUSE.MA0906.1	HOXC12
HOXC13_MOUSE.MA0907.1	HOXC13
HOXD11_MOUSE.MA0908.1	HOXD11
HOXD13_MOUSE.MA0909.1	HOXD13
Hoxd8_MOUSE.MA0910.1	Hoxd8
Hoxa11_MOUSE.MA0911.1	Hoxa11
Hoxd3_MOUSE.MA0912.1	Hoxd3
Hoxd9_MOUSE.MA0913.1	Hoxd9
ISL2_MOUSE.MA0914.1	ISL2
ASCL1_MOUSE.MA1100.1	ASCL1
BACH2_MOUSE.MA1101.1	BACH2
CREB1_MOUSE.MA0018.3	CREB1
CTCFL_MOUSE.MA1102.1	CTCFL
FOXK1_MOUSE.MA0852.2	FOXK1
FOXK2_MOUSE.MA1103.1	FOXK2
FOXP1_MOUSE.MA0481.2	FOXP1
GATA2_MOUSE.MA0036.3	GATA2
GATA6_MOUSE.MA1104.1	GATA6
GRHL2_MOUSE.MA1105.1	GRHL2
HIF1A_MOUSE.MA1106.1	HIF1A
KLF4_MOUSE.MA0039.3	KLF4
KLF9_MOUSE.MA1107.1	KLF9
MAFF_MOUSE.MA0495.2	MAFF
MAFK_MOUSE.MA0496.2	MAFK
MITF_MOUSE.MA0620.2	MITF
MXI1_MOUSE.MA1108.1	MXI1
MYC_MOUSE.MA0147.3	MYC
MYB_MOUSE.MA0100.3	MYB
MYCN_MOUSE.MA0104.4	MYCN
NEUROD1_MOUSE.MA1109.1	NEUROD1
NFIC_MOUSE.MA0161.2	NFIC
NFYA_MOUSE.MA0060.3	NFYA
NR1H4_MOUSE.MA1110.1	NR1H4
NR2F2_MOUSE.MA1111.1	NR2F2
NR4A1_MOUSE.MA1112.1	NR4A1
PAX5_MOUSE.MA0014.3	PAX5
PBX2_MOUSE.MA1113.1	PBX2
PBX3_MOUSE.MA1114.1	PBX3
POU5F1_MOUSE.MA1115.1	POU5F1
PRDM1_MOUSE.MA0508.2	PRDM1
RBPJ_MOUSE.MA1116.1	RBPJ
RELB_MOUSE.MA1117.1	RELB
SIX1_MOUSE.MA1118.1	SIX1
SIX2_MOUSE.MA1119.1	SIX2
SOX10_MOUSE.MA0442.2	SOX10
SOX13_MOUSE.MA1120.1	SOX13
TEAD2_MOUSE.MA1121.1	TEAD2
TFDP1_MOUSE.MA1122.1	TFDP1
TWIST1_MOUSE.MA1123.1	TWIST1
USF2_MOUSE.MA0526.2	USF2
ZBTB7A_MOUSE.MA0750.2	ZBTB7A
ZEB1_MOUSE.MA0103.3	ZEB1
ZNF24_MOUSE.MA1124.1	ZNF24
ZNF384_MOUSE.MA1125.1	ZNF384
ZNF282_MOUSE.MA1154.1	ZNF282
ZSCAN4_MOUSE.MA1155.1	ZSCAN4
GATA3_MOUSE.MA0037.3	GATA3
FOS::JUN_MOUSE.MA0099.3	FOS::JUN
FOS::JUN(var.2)_MOUSE.MA1126.1	FOS::JUN(var.2)
FOSB::JUN_MOUSE.MA1127.1	FOSB::JUN
FOSL1::JUN_MOUSE.MA1128.1	FOSL1::JUN
FOSL1::JUN(var.2)_MOUSE.MA1129.1	FOSL1::JUN(var.2)
FOSL2::JUN_MOUSE.MA1130.1	FOSL2::JUN
FOSL2::JUN(var.2)_MOUSE.MA1131.1	FOSL2::JUN(var.2)
JUN::JUNB_MOUSE.MA1132.1	JUN::JUNB
JUN::JUNB(var.2)_MOUSE.MA1133.1	JUN::JUNB(var.2)
FOS::JUNB_MOUSE.MA1134.1	FOS::JUNB
FOSB::JUNB_MOUSE.MA1135.1	FOSB::JUNB
FOSB::JUNB(var.2)_MOUSE.MA1136.1	FOSB::JUNB(var.2)
