FeatureID,FeatureName,crabp1+ Average,crabp1+ Log2 Fold Change,crabp1+ P-Value,crabp1- Average,crabp1- Log2 Fold Change,crabp1- P-Value
HEY2_MOUSE.MA0649.1,HEY2,440.8835493663878,-0.09190631649359204,8.195159465199393e-07,470.1450552521468,0.09190631649359204,8.195159465093507e-07
E2F8_MOUSE.MA0865.1,E2F8,236.89402091425808,-0.09034645451100864,4.112138784391699e-06,252.34363697486233,0.09034645451100864,4.11213878437745e-06
KLF9_MOUSE.MA1107.1,KLF9,3479.681573642534,-0.08944906567027289,8.724883193130538e-10,3704.315076469914,0.08944906567027289,8.724883193321234e-10
KLF14_MOUSE.MA0740.1,KLF14,8899.86922693816,-0.08822689889003676,3.2890494776425744e-06,9466.384611253461,0.08822689889003676,3.2890494777267183e-06
TFE3_MOUSE.MA0831.2,TFE3,7789.408461138285,-0.08807867538181924,1.2209758026472832e-12,8284.386975518855,0.08807867538181924,1.2209758027183682e-12
NR4A1_MOUSE.MA1112.1,NR4A1,1337.5452852195942,-0.08789014236110759,1.0759642965470727e-08,1422.3536455836665,0.08789014236110759,1.0759642965464983e-08
TBX20_MOUSE.MA0689.1,TBX20,41.98100143401726,-0.0867146832891077,0.08959630297791692,44.606293699365345,0.0867146832891077,0.08959630297792047
RARA(var.2)_MOUSE.MA0730.1,RARA(var.2),252.5445565736728,-0.08669865181568248,0.0002744667781982842,268.3355213000012,0.08669865181568248,0.0002744667782046826
Nr1h3::Rxra_MOUSE.MA0494.1,Nr1h3::Rxra,1036.6232221509579,-0.08647604822454014,5.470601516079729e-10,1101.2713077065268,0.08647604822454014,5.470601516575964e-10
BHLHE40_MOUSE.MA0464.2,BHLHE40,1085.1095322235024,-0.08492332423504223,1.8003371192592404e-08,1151.5413937710455,0.08492332423504223,1.8003371194257168e-08
TFEC_MOUSE.MA0871.1,TFEC,1403.1710220131883,-0.08461211047581507,6.7328723414735145e-09,1488.7539105704755,0.08461211047581507,6.732872341464606e-09
Arntl_MOUSE.MA0603.1,Arntl,979.9938232720878,-0.08309632639989317,6.765390546503884e-09,1038.6741441413803,0.08309632639989317,6.7653905465037715e-09
Hes1_MOUSE.MA1099.1,Hes1,950.0785659413954,-0.08291527226312567,5.78632623166001e-06,1006.8412423243585,0.08291527226312567,5.786326231491605e-06
Bach1::Mafk_MOUSE.MA0591.1,Bach1::Mafk,1100.8860509727479,-0.08222415943536276,0.0018544364210505177,1166.1000431802522,0.08222415943536276,0.0018544364210657711
CUX1_MOUSE.MA0754.1,CUX1,254.04490064347397,-0.08071951765448482,0.0002523705821158465,268.81326627197865,0.08071951765448482,0.00025237058211679284
FIGLA_MOUSE.MA0820.1,FIGLA,847.5168778110926,-0.0794615736402946,5.949399319518682e-08,896.0044088255972,0.0794615736402946,5.9493993195183884e-08
TBR1_MOUSE.MA0802.1,TBR1,382.8454304830479,-0.07915564903553118,2.771036375525055e-06,404.6625635009787,0.07915564903553118,2.7710363757010533e-06
SREBF2_MOUSE.MA0596.1,SREBF2,828.1842000261736,-0.07684290817861061,7.685736461263517e-08,873.9778511702174,0.07684290817861061,7.685736461277669e-08
KLF5_MOUSE.MA0599.1,KLF5,23568.40678665165,-0.07635887437933242,2.4582325326885597e-06,24863.26271826667,0.07635887437933242,2.4582325326899535e-06
NFKB2_MOUSE.MA0778.1,NFKB2,432.1964426721572,-0.07627049242355888,3.675242326586268e-05,455.91328398166155,0.07627049242355888,3.675242326629086e-05
GBX1_MOUSE.MA0889.1,GBX1,409.78863219455394,-0.07329388178553664,2.756917514843241e-05,431.3848513414525,0.07329388178553664,2.7569175148058715e-05
Six3_MOUSE.MA0631.1,Six3,167.06503012358743,-0.07280817969840658,0.004166315945393838,175.81014968769026,0.07280817969840658,0.0041663159454231515
NFKB1_MOUSE.MA0105.4,NFKB1,260.31542261458964,-0.0726799867932062,0.0004158140329674348,273.9175941304742,0.0726799867932062,0.00041581403296739284
SRF_MOUSE.MA0083.3,SRF,236.10948985485823,-0.07231161816213394,0.0017793926294173412,248.3833826018916,0.07231161816213394,0.0017793926294597056
POU5F1_MOUSE.MA1115.1,POU5F1,1376.0388456669361,-0.07228812454853184,1.2518637432295363e-06,1447.548406737423,0.07228812454853184,1.2518637432281262e-06
ZNF143_MOUSE.MA0088.2,ZNF143,511.70895186753705,-0.07228283777764766,1.7327904525305554e-06,538.299147175557,0.07228283777764766,1.7327904525874456e-06
ESRRB_MOUSE.MA0141.3,ESRRB,262.0677328640521,-0.07066183389700242,0.0005944269761110399,275.3759735186158,0.07066183389700242,0.0005944269761108892
Nkx3-1_MOUSE.MA0124.2,Nkx3-1,849.916283021958,-0.0690532912163011,4.497895253969335e-07,892.0818711609406,0.0690532912163011,4.4978952541365873e-07
Zfx_MOUSE.MA0146.2,Zfx,11097.403715862081,-0.06802489093315778,0.00011927218904181319,11639.6653471329,0.06802489093315778,0.00011927218903875932
Npas2_MOUSE.MA0626.1,Npas2,442.8878257955115,-0.06756496988509753,0.00023676841356475077,464.3806849981561,0.06756496988509753,0.00023676841356542853
Foxo1_MOUSE.MA0480.1,Foxo1,529.2835928989106,-0.06539186489941606,6.118557886991053e-05,554.1338785493875,0.06539186489941606,6.118557886986185e-05
MYC_MOUSE.MA0147.3,MYC,963.4843120001915,-0.06443839545948826,8.485031345876745e-05,1008.0544631084591,0.06443839545948826,8.485031345621262e-05
SPIB_MOUSE.MA0081.1,SPIB,41438.83893343521,-0.06414401921250246,4.890299643911835e-08,43346.93909487871,0.06414401921250246,4.890299643381521e-08
CREB3_MOUSE.MA0638.1,CREB3,242.10513962997976,-0.06369131850154464,0.006403361035634634,253.17340455777048,0.06369131850154464,0.006403361035415784
MLXIPL_MOUSE.MA0664.1,MLXIPL,562.2052648732886,-0.06327801498493635,0.00013228262439626321,587.7394656571676,0.06327801498493635,0.00013228262439642484
MLX_MOUSE.MA0663.1,MLX,562.2052648732886,-0.06327801498493635,0.00013228262439626321,587.7394656571676,0.06327801498493635,0.00013228262439642484
Srebf1(var.2)_MOUSE.MA0829.1,Srebf1(var.2),562.5030430856156,-0.06310030884229967,0.00013521400217577097,587.9783381431563,0.06310030884229967,0.0001352140021800855
SREBF2(var.2)_MOUSE.MA0828.1,SREBF2(var.2),562.5030430856156,-0.06310030884229967,0.00013521400217577097,587.9783381431563,0.06310030884229967,0.0001352140021800855
NKX2-3_MOUSE.MA0672.1,NKX2-3,1081.9313224573204,-0.06199051317623194,7.220231493218211e-06,1130.0617283862186,0.06199051317623194,7.220231493442287e-06
PAX9_MOUSE.MA0781.1,PAX9,71.6385660809652,-0.0619614861455311,0.038718164859713265,74.8236631769371,0.0619614861455311,0.038718164859202917
EGR1_MOUSE.MA0162.3,EGR1,621.4860351426852,-0.061829238449098156,0.0009047918948446464,649.0605472576902,0.061829238449098156,0.0009047918948342155
ZEB1_MOUSE.MA0103.3,ZEB1,1622.0093755530831,-0.06173332290766531,0.0013340340832505976,1693.8636565000966,0.06173332290766531,0.0013340340832845698
POU2F2_MOUSE.MA0507.1,POU2F2,1463.2019643174856,-0.061402971004694606,5.78632623166001e-06,1527.671267432478,0.061402971004694606,5.786326231491605e-06
Hic1_MOUSE.MA0739.1,Hic1,2709.335064856788,-0.061399425664474094,3.6121607645608945e-07,2828.7028346060893,0.061399425664474094,3.6121607647973543e-07
MXI1_MOUSE.MA1108.1,MXI1,1306.6164366661735,-0.06000140583463498,0.00039776593196577567,1362.861824336373,0.06000140583463498,0.0003977659319607082
IRF5_MOUSE.MA1420.1,IRF5,188.56805295604343,-0.059042732704427614,0.013209592356659793,196.554339260394,0.059042732704427614,0.013209592356606792
MNT_MOUSE.MA0825.1,MNT,848.8339737502312,-0.05873284551806002,1.8070768097695956e-05,884.5951045606103,0.05873284551806002,1.8070768098317647e-05
RARA::RXRA_MOUSE.MA0159.1,RARA::RXRA,671.610125383028,-0.05806747986251182,0.00016987901255305251,699.5820780443023,0.05806747986251182,0.00016987901254451732
EOMES_MOUSE.MA0800.1,EOMES,285.91289586654125,-0.05750323176739869,0.0023333793107496335,297.7042648405078,0.05750323176739869,0.002333379310622318
Rarb_MOUSE.MA0857.1,Rarb,462.47246976009194,-0.05628613807363614,0.002583332231584455,481.13947572567974,0.05628613807363614,0.0025833322315824054
Id2_MOUSE.MA0617.1,Id2,5784.003910710166,-0.05601584102906898,1.2429917314486455e-05,6016.343010000477,0.05601584102906898,1.2429917316339766e-05
Rarg_MOUSE.MA0859.1,Rarg,488.68840545303027,-0.05339738598447674,0.0036733995180336645,507.3965908302808,0.05339738598447674,0.0036733995179945604
MAX_MOUSE.MA0058.3,MAX,823.3796631003598,-0.05301308480461664,0.00011638250178061609,854.6731826314982,0.05301308480461664,0.00011638250178139612
RELA_MOUSE.MA0107.1,RELA,1269.8408274437948,-0.05291189756932546,0.0035049648963101734,1318.0103720329669,0.05291189756932546,0.0035049648962592445
FOXK2_MOUSE.MA1103.1,FOXK2,816.725465355669,-0.05233670602501306,0.0006361782424661417,847.3687134546856,0.05233670602501306,0.0006361782424664548
XBP1_MOUSE.MA0844.1,XBP1,180.8200929314594,-0.05179546988962702,0.015468743575984451,187.53375985529402,0.05179546988962702,0.015468743576478953
HINFP_MOUSE.MA0131.2,HINFP,949.6089926065721,-0.05065726087128297,0.009251942831385918,984.0917810929601,0.05065726087128297,0.009251942831380007
Ar_MOUSE.MA0007.3,Ar,261.38055237406684,-0.04990515492526981,0.01983619733988934,270.73053227794065,0.04990515492526981,0.01983619733992819
SP1_MOUSE.MA0079.3,SP1,28005.84044170708,-0.0491842498893611,0.001903622121163632,28993.198275824045,0.0491842498893611,0.0019036221211723295
HIC2_MOUSE.MA0738.1,HIC2,4890.640641208889,-0.04883959471159649,4.028502008738143e-05,5061.85255881596,0.04883959471159649,4.028502008759643e-05
TFAP2C_MOUSE.MA0524.2,TFAP2C,1515.9087078993564,-0.04878164713583111,0.005901715132679795,1568.9144879738444,0.04878164713583111,0.005901715132770209
TFAP2B_MOUSE.MA0811.1,TFAP2B,1515.9087078993564,-0.04878164713583111,0.005901715132679795,1568.9144879738444,0.04878164713583111,0.005901715132770209
RARA_MOUSE.MA0729.1,RARA,432.6660160069805,-0.04792149724582373,0.00985817145914043,447.5276024998474,0.04792149724582373,0.00985817145913383
Atf1_MOUSE.MA0604.1,Atf1,2631.12819859238,-0.04762454776815872,0.0002334576451229126,2720.9461989529723,0.04762454776815872,0.00023345764510393702
POU3F2_MOUSE.MA0787.1,POU3F2,1187.8487419803846,-0.04727482835344965,0.0004786859670398331,1228.100025530427,0.04727482835344965,0.00047868596702590143
TP53_MOUSE.MA0106.3,TP53,179.23385130041007,-0.04664969455127377,0.07243764956869779,185.22675453008728,0.04664969455127377,0.07243764956926989
GRHL1_MOUSE.MA0647.1,GRHL1,184.06702074663986,-0.04571624638493965,0.029676165329181763,190.09849602064648,0.04571624638493965,0.029676165329180527
SP3_MOUSE.MA0746.1,SP3,15428.158326351382,-0.04569759636055437,0.006986191019014371,15933.530291259052,0.04569759636055437,0.006986191018908799
IRF4_MOUSE.MA1419.1,IRF4,146.174743228035,-0.04502310042113944,0.06260462756748815,150.89197772823644,0.04502310042113944,0.0626046275653164
RORC_MOUSE.MA1151.1,RORC,324.89893566503935,-0.044856479362222146,0.03483379085366262,335.34553973788655,0.044856479362222146,0.034833790853783866
